question,votes,tags
What does the “yield” keyword do?,11378,python iterator generator yield coroutine
What does if __name__ == “__main__”: do?,6980,python namespaces main python-module idioms
Does Python have a ternary conditional operator?,6835,python operators ternary-operator conditional-operator
What are metaclasses in Python?,6304,python oop metaclass python-class python-datamodel
How do I check whether a file exists without exceptions?,6291,python file file-exists
How do I merge two dictionaries in a single expression (taking union of dictionaries)?,5823,python dictionary merge
How to execute a program or call a system command?,5425,python shell terminal subprocess command
How can I safely create a nested directory in Python?,4871,python exception path directory operating-system
Accessing the index in 'for' loops?,4254,python loops list
How to make a flat list out of a list of lists,4215,python list multidimensional-array flatten
Difference between staticmethod and classmethod,4035,python oop methods python-decorators
Understanding slice notation,3929,python list slice iterable
Finding the index of an item in a list,3736,python list indexing
Iterating over dictionaries using 'for' loops,3605,python dictionary
Does Python have a string 'contains' substring method?,3596,python string substring contains
How do I list all files of a directory?,3467,python directory
Using global variables in a function,3438,python global-variables scope
How do I sort a dictionary by value?,3417,python sorting dictionary
How to get the current time in Python,3333,python datetime time
Catch multiple exceptions in one line (except block),3251,python exception exception-handling
How do I check if a list is empty?,3231,python list
What is the difference between Python's list methods append and extend?,3113,python list data-structures append extend
What is the difference between __str__ and __repr__?,3108,python magic-methods repr
How can I add new keys to a dictionary?,3100,python dictionary lookup
How do I concatenate two lists in Python?,3032,python list concatenation
How do I copy a file in Python?,3015,python file copy filesystems file-copying
Convert bytes to a string,2994,python string python-3.x
How can I make a time delay in Python? [duplicate],2972,python python-3.x delay sleep timedelay
How do I pass a variable by reference?,2941,python reference parameter-passing pass-by-reference
“Least Astonishment” and the Mutable Default Argument,2935,python language-design default-parameters least-astonishment
How to make function decorators and chain them together?,2929,python decorator python-decorators
How to iterate over rows in a DataFrame in Pandas,2910,python pandas dataframe
List changes unexpectedly after assignment. Why is this and how can I prevent it?,2900,python list reference copy clone
What is __init__.py for?,2853,python module package python-packaging
Understanding Python super() with __init__() methods [duplicate],2836,python class oop inheritance super
What does ** (double star/asterisk) and * (star/asterisk) do for parameters?,2771,python syntax parameter-passing variadic-functions argument-unpacking
Check if a given key already exists in a dictionary,2679,python dictionary
How do I select rows from a DataFrame based on column values?,2655,python pandas dataframe
How can I install pip on Windows?,2639,python windows installation pip easy-install
How to delete a file or folder in Python?,2631,python file-io directory delete-file
Manually raising (throwing) an exception in Python,2630,python exception
How do you split a list into evenly sized chunks?,2624,python list split chunks
How do you change the size of figures drawn with Matplotlib?,2593,python graph matplotlib plot visualization
Find current directory and file's directory [duplicate],2568,python directory
How to print colored text to the terminal?,2563,python terminal output ansi-colors
How to access environment variable values,2554,python environment-variables
Converting string into datetime,2520,python datetime
How do I parse a string to a float or int?,2500,python parsing floating-point type-conversion integer
Why is “1000000000000000 in range(1000000000000001)” so fast in Python 3?,2483,python performance python-3.x range python-internals
How to get the last element of a list?,2450,python list indexing
How do I get a substring of a string in Python?,2399,python string substring
How to upgrade all Python packages with pip,2336,python pip
How do I lowercase a string in Python?,2313,python string uppercase lowercase
Renaming column names in Pandas,2290,python pandas replace dataframe rename
How do I sort a list of dictionaries by a value of the dictionary?,2271,python list sorting dictionary data-structures
How can I remove a key from a Python dictionary?,2265,python dictionary data-structures unset
Are static class variables possible in Python?,2187,python class oop static class-variables
How to print without a newline or space,2140,python
How do I get the number of elements in a list?,2095,python list
Is there a way to run Python on Android?,2088,android python jython ase android-scripting
Calling a function of a module by using its name (a string),2055,python object
How can I randomly select an item from a list?,2027,python list random
How to read a file line-by-line into a list?,2026,python string file readlines
Why is reading lines from stdin much slower in C++ than Python?,2008,python c++ benchmarking iostream getline
How to know if an object has an attribute in Python,2002,python attributes
Limiting floats to two decimal points,1967,python floating-point rounding precision
Determine the type of an object?,1946,python dictionary types typeof
How to leave/exit/deactivate a Python virtualenv,1934,python virtualenv virtualenvwrapper
Why is it string.join(list) instead of list.join(string)?,1903,python string list
How can I print literal curly-brace characters in a string and also use .format on it?,1886,python string format string-formatting curly-braces
Importing files from different folder,1883,python importerror python-import
How can I remove a trailing newline?,1859,python newline trailing
How to determine a Python variable's type?,1849,python types unsigned signed 16-bit
Static methods in Python?,1845,python static-methods
How to remove an element from a list by index,1821,python list indexing
How can I count the occurrences of a list item?,1815,python list count
How do you append to a file?,1795,python file append
How do I check if a string is a number (float)?,1778,python casting floating-point type-conversion
Delete an element from a dictionary,1763,python dictionary del
How to pad zeroes to a string?,1729,python string zero-padding
Meaning of @classmethod and @staticmethod for beginner? [duplicate],1724,python oop static-methods class-method
Replacements for switch statement in Python?,1717,python switch-statement
How to check if the string is empty?,1715,python string comparison-operators
Delete a column from a Pandas DataFrame,1708,python pandas dataframe
Getting the class name of an instance?,1693,python introspection instanceof python-datamodel
How do I install pip on macOS or OS X?,1672,python macos pip installation
Installing specific package versions with pip,1597,python mysql pip pypi mysql-python
How do you read from stdin?,1591,python stdin
How to measure elapsed time in Python?,1590,python performance measure timeit
Pythonic way to create a long multi-line string,1577,python string multiline multilinestring
Generate random integers between 0 and 9,1562,python random integer
Extracting extension from filename in Python,1531,python filenames file-extension
How to print to stderr in Python?,1529,python printing stderr zen-of-python
Random string generation with upper case letters and digits,1522,python string random
Proper way to declare custom exceptions in modern Python?,1501,python exception custom-exceptions
Why can't Python parse this JSON data?,1500,python json parsing
What's the canonical way to check for type in Python?,1499,python types
Use of *args and **kwargs [duplicate],1491,python args keyword-argument
What is the meaning of single and double underscore before an object name?,1488,python oop naming-conventions identifier
"What is the difference between venv, pyvenv, pyenv, virtualenv, virtualenvwrapper, pipenv, etc?",1476,python virtualenv virtualenvwrapper pyenv python-venv
How do I convert two lists into a dictionary?,1473,python list dictionary type-conversion
fatal error: Python.h: No such file or directory,1468,python gcc python-c-api
Reverse a string in Python,1467,python string
